,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1265,RT279.,LOT & HOUSE,2645 ROUTE 78,216800,5.53
1266,PD008.,LOT & HOUSE,70 PAULINE DRIVE,167200,1.45
1267,BR146.,LAND & HOUSE,1374 BLAIR ROAD,234500,10.01
1268,GR135.,LAND & MHOME,2644 GREENWOODS ROAD,131200,10.1
1269,RS328.,LAND & HOUSE,3102 US ROUTE 2 SOUTH,350100,6.9
1270,MR044.,LOT & MHOME,420 MARTELL ROAD,81000,1.25
1271,PF148.,LOT,148 POOR FARM ROAD,119100,0.35
1272,BU005.,LOT & HOUSE,65 BOUTAH ROAD,152400,1.85
1273,DR048.,LAND,48 DEER RUN LANE,55700,56.2
1274,SS005.,LOT & MHOME AT 45 SOWLES STREET,45 SOWLES STREET,54600,0.42
1275,ST005.,LAND & HOUSE,55 SUNSET BLVD,344700,11.06
1276,RS348.,LOT & HOUSE,3286 US ROUTE 2 SOUTH,119200,2.0
1277,FK043.,LOT & HOUSE,411 FISKE ROAD,319900,1.38
1278,FK047.,LAND,47 FISKE ROAD,99000,3.5
1279,ATH03.,2011 WOODLAND PARK,3H ALBURGH  RV  RESORT,16000,
1280,GP164.,1999 CITATION  24'-26',164 GOOSEPOINT CAMPGROUND,6100,
1281,SA158.,LOT & HOUSE,1466 ALBURGH  SPRINGS ROAD,315600,2.29
1282,KF015.,LOT & HOUSE,141 KIRK & FITTS,114000,0.24
1283,CU013.,LOT & HOUSE,61 CENTER BAY SOUTH,228000,0.36
1284,CA023.,LOT & HOUSE,30 CARLE STREET,155200,0.58
1285,ATC21.,2000 PROWLER,21C ALBURGH  RV  RESORT,5200,
1286,WS018.,LOT & HOUSE,162 WEST SHORE RD,210600,0.19
1287,WL035.,LOT & HOUSE,335 WINTER'S LANE,111200,0.23
1288,ATE12.,85 GOLDEN FALCON,12E ALBURGH  RV RESORT,3700,
1289,VA003.,LOT & HOUSE,37 VANTINE AVENUE,132600,0.33
1290,RS542.,LOT & HOUSE,5138 US ROUTE 2 SOUTH,271600,2.0
1291,GP062.,1998  BRECKENBRIDGE,62 GOOSEPOINT   CAMPGROUND,6500,
1292,GP084.,2013 SPRINTER,84 GOOSEPOINT CAMPGROUND,15000,
