,gs_equipment_location,gs_facility_id,gs_rated_kva,x,y
5099,E72805203078794,26464,10.0,1434564.1433269754,908655.4540175796
5100,E72805203078795,26465,99.0,1434554.181752734,908901.5611359999
5101,E72805203078886,26481,10.0,1437335.599892363,912542.9382808432
5102,E72805203095431,26482,10.0,1437673.128555011,913355.8810657039
5103,E72805203078895,26483,10.0,1438229.0285819955,914274.3643195778
5104,E72805203078890,26484,10.0,1438409.963707652,914519.9994682446
5105,E72805203078891,26485,10.0,1438607.5684031062,915094.0753514469
5106,E72805203101336,26486,10.0,1439030.4131290019,915294.6022425741
5107,E72805203078893,26507,15.0,1438551.4240870029,916085.8846286088
5108,E72805203078896,26509,10.0,1438544.6457980797,916538.6944124997
5109,E72805203078898,26504,10.0,1438292.965419881,916572.0536359102
5110,E72805203078876,26467,10.0,1434503.7613250539,910687.1231089309
5111,E72805203095735,26468,10.0,1434467.6807441637,911498.3085596263
5112,E72805203101264,26469,10.0,1434470.6631912924,911774.9832506105
5113,E72805203105106,26470,15.0,1434131.1361886486,912040.9331822321
5114,E72805203078873,26471,10.0,1434460.7919942364,912305.7985876203
5115,E72805203078872,26472,15.0,1434541.4686952867,912946.4924985543
5116,E72805203078870,26473,10.0,1434589.2782264948,913499.2594497725
5117,E72805203078868,26474,10.0,1434779.2008611672,914522.5802389905
5118,E72805203098777,26477,75.0,1434286.5046126768,916469.1943567395
5119,E72805203078862,26478,10.0,1432662.968849782,916457.4252387881
5120,E72805203078863,24407,25.0,1431773.5569239594,916437.4518807605
5121,E72805203079050,26312,15.0,1443186.1870887987,901765.8906949908
5122,E72805203079053,26310,10.0,1443583.1538138725,902413.9151998758
5123,E72805203079054,26309,10.0,1442936.5954277776,903082.5356611684
5124,E72805203079057,18736,10.0,1443568.9043442681,903667.8584830388
5125,E72805203079056,26229,10.0,1442841.558796119,903605.899901323
5127,E72805203079059,26307,15.0,1443779.9551565647,904234.7041913867
5128,E72805203079058,26305,10.0,1443757.5215307064,904946.1634386852
5129,E72805203079060,15968,100.0,1443502.175855536,905252.2508826405
5130,E72805203079061,26304,10.0,1443496.241087012,905654.921412319
5131,E72805203096474,19571,10.0,1443920.1904229522,906546.351761952
5132,E72805203079063,26303,99.0,1443538.9694120027,907511.1081348732
5133,E72805203079066,26302,5.0,1443345.8735339195,907888.9952318668
5134,E72805203079064,26301,10.0,1443337.4684556536,908746.7450169921
5135,E72805203102639,26300,99.0,1444050.6147437468,908912.2858953625
5136,E72805203079067,26299,15.0,1443397.9609185793,910626.9118194729
5137,E72805203079073,26297,10.0,1444251.995197177,911981.8767123669
5162,E72805203097976,25040,10.0,1437730.759073723,880180.2940531448
5163,E72805203079477,25038,99.0,1438261.0020218939,880383.4318407401
5164,E72805203079460,26712,25.0,1439595.541670829,883328.8042370379
5165,E72805203105067,26711,25.0,1439399.9152315482,883474.7232242152
5166,E72805203079074,26295,15.0,1444826.5530920401,912272.8711663187
5167,E72805203095194,19553,10.0,1441578.6380458511,912371.6233045012
5168,E72805203078889,26298,15.0,1440849.2640319802,912351.7503655702
5169,E72805203079075,26255,10.0,1444278.5359640308,902129.3676518276
5170,E72805203079331,26258,10.0,1445796.330419723,902525.0690963045
5171,E72805203079077,26257,10.0,1445868.8731740639,902159.4933803752
5172,E72805203079076,35167,15.0,1445542.1897736937,902010.752616629
5173,E72805203079079,25746,10.0,1446490.607959833,900413.6170338541
5174,E72805203079080,26189,10.0,1446659.2618301548,898992.7169630751
5175,E72805203079087,25732,15.0,1446603.4790227935,898715.7008471712
5176,E72805203100400,25751,10.0,1446952.7165519372,899360.8131982908
5177,E72805203079081,17079,15.0,1447360.7795870267,899367.9027864113
5178,E72805203079329,20471,10.0,1446207.576740127,903007.7937286422
5179,E72805203079325,26259,10.0,1446398.0918474644,903550.1472196877
5180,E72805203079326,26260,10.0,1446692.0787904523,904014.2240260616
5181,E72805203079320,26272,10.0,1446567.6595315486,904874.0223607197
5182,E72805203079327,26271,10.0,1447485.9218634143,904248.9938286319
5183,E72805203095875,26270,10.0,1447709.5049787834,904404.6534680352
5184,E72805203079317,26269,10.0,1448710.4122259654,904726.0548240021
5185,E72805203079312,26267,10.0,1448762.0778504238,905424.3491279185
5186,E72805203079321,26261,10.0,1448879.126347743,905524.7682230771
5187,E72805203079314,26262,10.0,1448699.1954130344,905856.3018657491
5188,E72805203079323,26263,10.0,1449331.434036158,905860.1479170918
5189,E72805203079311,20879,10.0,1449319.6046667472,906463.2549607083
5190,E72805203079310,26264,10.0,1449845.9312702045,907321.4064222127
5191,E72805203079309,26265,10.0,1449872.7230847925,908646.8481011242
5192,E72805203079257,26266,10.0,1449963.9739165641,909110.7943626717
5193,E72805203097994,26274,10.0,1449309.6832601465,909108.7156874016
5194,E72805203079260,26273,10.0,1448715.312677808,909073.9706804752
5195,E72805203104541,23612,10.0,1450220.825878162,909085.2477448657
5196,E72805203079255,26223,10.0,1451223.882093981,909149.8573906869
5197,E72805203079253,22667,10.0,1451955.72641759,909174.2793146297
5198,E72805203079245,26225,10.0,1452828.669611808,909200.980752036
5199,E72805203079158,22369,15.0,1452847.206976775,908756.7668426856
5200,E72805203079243,26226,10.0,1453156.4174545892,909215.5013531968
5201,E72805203079179,26232,10.0,1453371.043186672,909191.0493035242
5202,E72805203095263,26203,10.0,1447696.6915022433,902046.1503476724
5203,E72805200048554,19654,10.0,1448659.318990346,902177.2173506767
5204,E72805203079141,31111,10.0,1450826.5237344354,903139.6239167675
5205,E72805203079133,25749,10.0,1451766.898978673,903256.9956380501
5206,E72805203079132,25747,15.0,1452201.5034082308,903266.8655798659
5207,E72805203079117,20481,25.0,1451554.9738926291,902327.8761191443
5208,E72805203079112,25741,25.0,1451346.6846054494,902096.0285122395
5209,E72805203079091,26217,10.0,1450257.5390993543,902045.8792161122
5210,E72805203079106,26206,10.0,1451235.1089488193,901924.5528653413
5211,E72805203080368,15185,50.0,1451881.0447365195,901929.7947421074
5212,E72805203079144,26219,10.0,1451298.3729787692,904171.5405805334
5213,E72805203079145,26220,10.0,1451703.2326447219,904648.2802348062
5214,E72805203079147,19539,25.0,1452172.4609506726,906117.7530219033
5215,E72805203079148,23609,10.0,1453382.6114664339,906564.376989536
5216,EHA 223,26682,99.0,1439827.9616665766,891108.6230058521
5217,E72805203079432,20868,15.0,1439796.3597773276,891835.0848659575
